,Empirical,Maximum Entropy Prob.,True Prob.
0,0.3829,0.3828,0.3412
1,0.22,0.1787,0.2249
2,0.1257,0.1602,0.1483
3,0.0857,0.1117,0.0978
4,0.0629,0.068,0.0644
5,0.04,0.0384,0.0425
6,0.0343,0.0209,0.028
7,0.02,0.0114,0.0185
8,0.0086,0.0065,0.0122
9,0.0086,0.0041,0.008
10,0.0057,0.003,0.0053
11,0.0,0.0025,0.0035
12,0.0,0.0024,0.0023
13,0.0029,0.0031,0.0015
14,0.0,0.0042,0.001
15,0.0029,0.002,0.0007
